,HOME_TEAM_WINS
0,1
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,0
123,0
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,0
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,1
246,1
247,0
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,0
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,0
276,1
277,1
278,0
279,1
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,1
308,1
309,1
310,0
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,1
330,1
331,1
332,1
333,1
334,0
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,0
360,1
361,1
362,0
363,0
364,1
365,1
366,1
367,0
368,0
369,1
370,0
371,1
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,0
396,1
397,0
398,0
399,0
400,1
401,1
402,0
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,1
432,1
433,0
434,1
435,1
436,0
437,1
438,0
439,0
440,0
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,0
457,1
458,0
459,1
460,1
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,1
470,1
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,1
505,1
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,1
532,1
533,0
534,1
535,1
536,0
537,1
538,1
539,1
540,1
541,1
542,0
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,1
562,0
563,0
564,1
565,0
566,0
567,0
568,1
569,0
570,1
571,0
572,0
573,1
574,1
575,0
576,1
577,1
578,0
579,1
580,1
581,1
582,0
583,0
584,1
585,0
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,1
598,1
599,0
600,1
601,0
602,1
603,0
604,0
605,1
606,1
607,0
608,1
609,0
610,1
611,1
612,0
613,1
614,0
615,1
616,0
617,1
618,0
619,1
620,0
621,1
622,1
623,1
624,0
625,1
626,0
627,1
628,1
629,0
630,1
631,1
632,0
633,0
634,0
635,0
636,1
637,1
638,1
639,0
640,1
641,0
642,0
643,1
644,1
645,1
646,1
647,0
648,1
649,0
650,0
651,0
652,0
653,1
654,1
655,0
656,1
657,1
658,1
659,0
660,0
661,0
662,1
663,1
664,1
665,0
666,1
667,0
668,0
669,0
670,1
671,1
672,1
673,0
674,0
675,1
676,0
677,0
678,1
679,1
680,0
681,1
682,1
683,0
684,1
685,0
686,1
687,1
688,0
689,1
690,0
691,1
692,0
693,1
694,0
695,0
696,0
697,0
698,1
699,1
700,1
701,0
702,1
703,1
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,1
712,1
713,0
714,0
715,0
716,1
717,1
718,0
719,0
720,0
721,0
722,1
723,1
724,0
725,1
726,1
727,1
728,0
729,1
730,0
731,1
732,1
733,1
734,0
735,0
736,1
737,0
738,0
739,0
740,1
741,0
742,1
743,0
744,1
745,1
746,0
747,0
748,1
749,1
750,0
751,1
752,0
753,1
754,1
755,0
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,0
767,0
768,1
769,1
770,1
771,1
772,0
773,1
774,0
775,1
776,1
777,0
778,1
779,0
780,1
781,0
782,0
783,0
784,1
785,0
786,1
787,1
788,0
789,1
790,1
791,0
792,1
793,1
794,1
795,1
796,0
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,1
806,1
807,0
808,1
809,1
810,0
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,1
828,0
829,1
830,1
831,1
832,1
833,0
834,1
835,1
836,0
837,0
838,1
839,1
840,1
841,1
842,1
843,0
844,0
845,1
846,1
847,0
848,0
849,1
850,1
851,1
852,1
853,0
854,0
855,1
856,1
857,1
858,1
859,0
860,1
861,1
862,0
863,0
864,0
865,1
866,0
867,1
868,0
869,0
870,1
871,1
872,1
873,1
874,1
875,1
876,0
877,0
878,1
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,1
887,1
888,1
889,1
890,1
891,1
892,0
893,1
894,0
895,0
896,1
897,0
898,0
899,0
900,0
901,0
902,0
903,1
904,1
905,1
906,1
907,1
908,1
909,0
910,0
911,1
912,0
913,0
914,1
915,1
916,0
917,1
918,1
919,1
920,1
921,1
922,0
923,1
924,1
925,1
926,1
927,1
928,0
929,1
930,1
931,1
932,1
933,1
934,0
935,0
936,0
937,1
938,1
939,1
940,1
941,1
942,0
943,1
944,0
945,1
946,0
947,0
948,1
949,0
950,1
951,0
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,1
960,1
961,1
962,1
963,1
964,0
965,0
966,1
967,0
968,1
969,0
970,1
971,0
972,1
973,1
974,1
975,1
976,0
977,0
978,1
979,1
980,0
981,1
982,1
983,1
984,0
985,1
986,1
987,0
988,0
989,0
990,1
991,0
992,1
993,1
994,1
995,1
996,1
997,1
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,1
1008,0
1009,1
1010,1
1011,1
1012,0
1013,1
1014,0
1015,1
1016,0
1017,1
1018,1
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,0
1026,1
1027,1
1028,0
1029,1
1030,1
1031,1
1032,0
1033,1
1034,1
1035,0
1036,1
1037,0
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,0
1054,0
1055,0
1056,1
1057,0
1058,0
1059,1
1060,1
1061,0
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,0
1070,0
1071,1
1072,1
1073,1
1074,1
1075,0
1076,0
1077,0
1078,1
1079,1
1080,1
1081,0
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,0
1089,0
1090,1
1091,0
1092,1
1093,1
1094,0
1095,0
1096,0
1097,0
1098,1
1099,1
1100,0
1101,0
1102,1
1103,1
1104,1
1105,0
1106,0
1107,1
1108,1
1109,0
1110,1
1111,0
1112,1
1113,1
1114,1
1115,0
1116,0
1117,1
1118,1
1119,1
1120,0
1121,1
1122,1
1123,0
1124,1
1125,1
1126,0
1127,0
1128,1
1129,1
1130,1
1131,0
1132,0
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,0
1148,0
1149,0
1150,1
1151,1
1152,1
1153,0
1154,1
1155,1
1156,1
1157,1
1158,0
1159,1
1160,0
1161,1
1162,0
1163,0
1164,0
1165,0
1166,1
1167,1
1168,0
1169,1
1170,0
1171,1
1172,1
1173,0
1174,1
1175,0
1176,1
1177,1
1178,0
1179,0
1180,0
1181,1
1182,0
1183,0
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,0
1198,1
1199,1
1200,0
1201,0
1202,1
1203,0
1204,1
1205,1
1206,1
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,0
1226,1
1227,1
1228,1
